_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Causative Agent - 1,Causative Agent - 2
1,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A (H3N2),,2016-12-31,2017-01-20,N,2016,,
2,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2016-12-30,2017-01-04,N,2016,,
3,Bendale Acres - 3rd Fl,2920 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2016-12-30,2017-01-13,N,2016,,
4,Chester Village - 3rd Fl - Ruby & 4th Fl - Emerald,3555 Danforth Ave,LTCH,Respiratory,Metapneumovirus,,2016-12-30,2017-01-20,N,2016,,
5,Amica At Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Influenza A (H3),,2016-12-30,2017-01-20,N,2016,,
6,Bethsheda Home,67 Belgreen Ave,Retirement Home,Respiratory,Influenza A (H3),,2016-12-30,2017-01-12,N,2016,,
7,Seniors' Health Centre - 1st Fl,2 Buchan Crt,Retirement Home,Enteric,Unable to identify,,2016-12-30,2017-01-04,N,2016,,
8,Seniors Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Influenza A (Not subtyped),"Coronavirus, Rhinovirus",2016-12-30,2017-01-25,N,2016,,
9,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Respiratory syncytial virus,,2016-12-30,2017-01-13,N,2016,,
10,Bridgepoint Active Healthcare - 6 South & 7 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2016-12-29,2017-01-11,N,2016,,
11,Providence Healthcare - A3 South & North Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2016-12-29,2017-01-09,N,2016,,
12,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2016-12-29,2017-01-02,N,2016,,
13,Sunnybrook Health Sciences Centre - K2C & K2W,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2016-12-29,2017-01-11,N,2016,,
14,The Westbury - 8th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,,2016-12-29,2017-01-11,N,2016,,
15,Ina Grafton Gage Home,40 Bell Estate Rd,LTCH,Respiratory,Coronavirus,,2016-12-29,2017-01-09,N,2016,,
16,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,,2016-12-29,2017-01-19,N,2016,,
17,St. Joseph's Health Centre - 4E,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2016-12-28,2017-01-04,N,2016,,
18,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza A (H3),,2016-12-28,2017-01-09,N,2016,,
19,The Wexford Residence,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2016-12-28,2017-01-11,N,2016,,
20,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza A (H3),,2016-12-28,2017-01-13,N,2016,,
21,Delmanor Northtown,5351 Yonge St,Retirement Home,Respiratory,Respiratory syncytial virus,,2016-12-28,2017-01-23,N,2016,,
22,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza A (H3N2),Coronavirus,2016-12-28,2017-01-10,N,2016,,
23,St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2016-12-27,2017-01-09,N,2016,,
24,Suomi-Koti Toronto Nursing Home - 7th Fl,795 Eglinton Ave E,LTCH,Respiratory,Influenza A (H3),,2016-12-27,2017-01-06,N,2016,,
25,Bendale Acres - Unit 3,2920 Lawrence Ave E,LTCH,Enteric,Unable to identify,,2016-12-26,2017-01-07,N,2016,,
26,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),,2016-12-24,2017-01-10,N,2016,,
27,Westside,1145 Albion Rd,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus/ C,2016-12-24,2017-01-19,N,2016,,
28,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2016-12-23,2016-12-30,N,2016,,
29,McCall Centre For Continuing Care - 2nd & 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2016-12-23,2017-01-07,N,2016,,
30,True Davidson Acres - 2nd  Fl,200 Dawes Rd,LTCH,Enteric,Unable to identify,,2016-12-23,2016-12-28,N,2016,,
31,Delmanor Prince Edward - 2nd Fl,4180 Dundas St W,Retirement Home,Respiratory,Influenza A (H3),,2016-12-23,2017-01-04,N,2016,,
