_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Outbreak Duration (days)
1,Extendicare Rouge Valley,551 Conlins Rd,ltch,respiratory,Influenza A (H3N2),N/A,2016-12-31,2017-01-20,n,2016,20
2,Michael Garron Hospital - H6,825 Coxwell Ave,hospital-acute care,enteric,Norovirus-like,N/A,2016-12-30,2017-01-04,n,2016,5
3,Bendale Acres - 3rd Fl,2920 Lawrence Ave E,ltch,respiratory,Respiratory syncytial virus,N/A,2016-12-30,2017-01-13,n,2016,14
4,Chester Village - 3rd Fl - Ruby & 4th Fl - Emerald,3555 Danforth Ave,ltch,respiratory,Metapneumovirus,N/A,2016-12-30,2017-01-20,n,2016,21
5,Amica At Bayview Gardens,19 Rean Dr,retirement home,respiratory,Influenza A (H3),N/A,2016-12-30,2017-01-20,n,2016,21
6,Bethsheda Home,67 Belgreen Ave,retirement home,respiratory,Influenza A (H3),N/A,2016-12-30,2017-01-12,n,2016,13
7,Seniors' Health Centre - 1st Fl,2 Buchan Crt,retirement home,enteric,Unable to identify,N/A,2016-12-30,2017-01-04,n,2016,5
8,Seniors Health Centre - 1st Fl,2 Buchan Crt,ltch,respiratory,Influenza A (Not subtyped),"Coronavirus, Rhinovirus",2016-12-30,2017-01-25,n,2016,26
9,Cedarvale Terrace,429 Walmer Rd,ltch,respiratory,Respiratory syncytial virus,N/A,2016-12-30,2017-01-13,n,2016,14
10,Bridgepoint Active Healthcare - 6 South & 7 North,1 Bridgepoint Dr,hospital-chronic care,respiratory,Influenza A (H3),N/A,2016-12-29,2017-01-11,n,2016,13
11,Providence Healthcare - A3 South & North Wing,3276 St Clair Ave E,hospital-chronic care,respiratory,Influenza A (H3),N/A,2016-12-29,2017-01-09,n,2016,11
12,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,hospital-chronic care,respiratory,Respiratory syncytial virus,N/A,2016-12-29,2017-01-02,n,2016,4
13,Sunnybrook Health Sciences Centre - K2C & K2W,2075 Bayview Ave,ltch,respiratory,Influenza A (H3N2),N/A,2016-12-29,2017-01-11,n,2016,13
14,The Westbury - 8th Fl,495 The West Mall,ltch,respiratory,Coronavirus,N/A,2016-12-29,2017-01-11,n,2016,13
15,Ina Grafton Gage Home,40 Bell Estate Rd,ltch,respiratory,Coronavirus,N/A,2016-12-29,2017-01-09,n,2016,11
16,Midland Gardens Care Community,130 Midland Ave,ltch,respiratory,Respiratory syncytial virus,N/A,2016-12-29,2017-01-19,n,2016,21
17,St. Joseph's Health Centre - 4E,30 The Queensway,hospital-acute care,respiratory,Respiratory syncytial virus,N/A,2016-12-28,2017-01-04,n,2016,7
18,The Heritage Nursing Home,1195 Queen St E,ltch,respiratory,Influenza A (H3),N/A,2016-12-28,2017-01-09,n,2016,12
19,The Wexford Residence,1860 Lawrence Ave E,ltch,respiratory,Influenza A (H3),N/A,2016-12-28,2017-01-11,n,2016,14
20,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,retirement home,respiratory,Influenza A (H3),N/A,2016-12-28,2017-01-13,n,2016,16
21,Delmanor Northtown,5351 Yonge St,retirement home,respiratory,Respiratory syncytial virus,N/A,2016-12-28,2017-01-23,n,2016,26
22,Better Living at Thompson House,1 Overland Dr,ltch,respiratory,Influenza A (H3N2),Coronavirus,2016-12-28,2017-01-10,n,2016,13
23,St. Joseph's Health Centre - 6M,30 The Queensway,hospital-acute care,respiratory,Influenza A (Not subtyped),N/A,2016-12-27,2017-01-09,n,2016,13
24,Suomi-Koti Toronto Nursing Home - 7th Fl,795 Eglinton Ave E,ltch,respiratory,Influenza A (H3),N/A,2016-12-27,2017-01-06,n,2016,10
25,Bendale Acres - Unit 3,2920 Lawrence Ave E,ltch,enteric,Unable to identify,N/A,2016-12-26,2017-01-07,n,2016,12
26,St. Bernard's Residence,685 Finch Ave W,retirement home,respiratory,Influenza A (Not subtyped),N/A,2016-12-24,2017-01-10,n,2016,17
27,Westside,1145 Albion Rd,ltch,respiratory,Influenza A (H3),Respiratory syncytial virus/ C,2016-12-24,2017-01-19,n,2016,26
28,St. Michael's Hospital - 6 Bond,30 Bond St,hospital-acute care,respiratory,Influenza A (H3),N/A,2016-12-23,2016-12-30,n,2016,7
29,McCall Centre For Continuing Care - 2nd & 4th Fl,140 Sherway Dr,hospital-chronic care,respiratory,Influenza A (H3),N/A,2016-12-23,2017-01-07,n,2016,15
30,True Davidson Acres - 2nd  Fl,200 Dawes Rd,ltch,enteric,Unable to identify,N/A,2016-12-23,2016-12-28,n,2016,5
31,Delmanor Prince Edward - 2nd Fl,4180 Dundas St W,retirement home,respiratory,Influenza A (H3),N/A,2016-12-23,2017-01-04,n,2016,12
32,Rose Of Sharon Korean Long Term Care Home,17 Maplewood Ave,ltch,respiratory,Metapneumovirus,Coronavirus,2016-12-22,2017-01-07,n,2016,16
33,North York General Hospital - 5 SE,4001 Leslie St,hospital-acute care,respiratory,Influenza A (Not subtyped),N/A,2016-12-21,2016-12-29,n,2016,8
34,Forest Hill Place,645 Castlefield Ave,retirement home,enteric,Unable to identify,N/A,2016-12-21,2017-01-03,n,2016,13
35,Greenview Lodge,880 Lawrence Ave E,retirement home,respiratory,Respiratory syncytial virus,N/A,2016-12-21,2017-01-05,n,2016,15
36,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,hospital-chronic care,respiratory,Respiratory syncytial virus,N/A,2016-12-19,2016-12-23,n,2016,4
37,Centennial Park Place,25 Centennial Park Rd,retirement home,respiratory,Influenza A (H3),N/A,2016-12-19,2016-12-27,n,2016,8
38,Scarborough Retirement Residence,148 Markham Rd,retirement home,enteric,Norovirus-like,N/A,2016-12-19,2017-01-23,n,2016,35
39,Baycrest Centre For Geriatric Care - 3E,3560 Bathurst St,hospital-chronic care,respiratory,Respiratory syncytial virus,N/A,2016-12-16,2016-12-26,n,2016,10
40,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,hospital-chronic care,respiratory,Respiratory syncytial virus,N/A,2016-12-16,2017-01-04,n,2016,19
41,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl,2030 McNicoll Ave,ltch,respiratory,Influenza A (H3N2),Parainfluenza type 2 & type 4,2016-12-16,2017-01-15,n,2016,30
42,Cummer Lodge - 2 North,205 Cummer Ave,ltch,respiratory,Coronavirus,N/A,2016-12-15,2016-12-24,n,2016,9
43,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,hospital-chronic care,respiratory,Respiratory syncytial virus,N/A,2016-12-14,2016-12-30,n,2016,16
44,Toronto General Hospital - 14ES,200 Elizabeth St,hospital-acute care,respiratory,Influenza A (H3),N/A,2016-12-13,2016-12-23,n,2016,10
45,Extendicare Craiglee - 1st & 2nd Fl,102 Craiglee Dr,ltch,respiratory,Metapneumovirus,N/A,2016-12-13,2016-12-24,n,2016,11
46,Kingsway Retirement Residence - 2nd Fl - Memory Care,4251 Dundas St W,retirement home,respiratory,Rhinovirus,Respiratory syncytial virus,2016-12-11,2016-12-20,n,2016,9
47,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,ltch,respiratory,Unable to identify,N/A,2016-12-09,2016-12-19,n,2016,10
48,Christie Gardens,600 Melita Cres,retirement home,respiratory,Influenza A (H3),N/A,2016-12-08,2016-12-19,n,2016,11
49,Kensington Place Retirement Residence - 6th Fl,866 Sheppard Ave W,retirement home,respiratory,Parainfluenza type 1,Rhinovirus/Respiratory syncytial virus,2016-12-07,2016-12-25,n,2016,18
50,Sienna Altamont Care Community,92 Island Rd,ltch,respiratory,Respiratory syncytial virus,Rhinovirus,2016-12-06,2016-12-22,n,2016,16
51,Castleview Wychwood Towers - 7C,351 Christie St,ltch,enteric,Unable to identify,N/A,2016-12-04,2016-12-11,n,2016,7
52,Kensington Gardens - 3 West,45 Brunswick Ave,ltch,respiratory,Respiratory syncytial virus,N/A,2016-12-02,2016-12-14,n,2016,12
53,Kipling Acres - 1 West,2233 Kipling Ave,ltch,enteric,Norovirus-like,N/A,2016-12-02,2016-12-09,n,2016,7
54,West Park Healthcare Centre - Glenwyld & Raymore,82 Buttonwood Ave,ltch,respiratory,Respiratory syncytial virus,N/A,2016-12-02,2016-12-16,n,2016,14
55,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,hospital-chronic care,respiratory,Enterovirus/Rhinovirus,N/A,2016-11-29,2016-12-16,n,2016,17
56,Eatonville Care Centre,420 The East Mall,ltch,respiratory,Influenza A (H3N2),N/A,2016-11-29,2016-12-14,n,2016,15
57,The O'Neill Centre - 4th Fl,33 Christie St,ltch,respiratory,Respiratory syncytial virus,N/A,2016-11-29,2016-12-19,n,2016,20
58,Baycrest Apotex Centre - 5EI,3560 Bathurst St,ltch,respiratory,Influenza A (H3),N/A,2016-11-28,2016-12-08,n,2016,10
59,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-11-28,2016-12-05,n,2016,7
60,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,retirement home,enteric,Unable to identify,N/A,2016-11-27,2016-12-06,n,2016,9
61,North Park Nursing Home,450 Rustic Rd,ltch,respiratory,Rhinovirus,Respiratory syncytial virus,2016-11-26,2016-12-26,n,2016,30
62,Extendicare Craiglee,102 Craiglee Dr,ltch,respiratory,Rhinovirus,N/A,2016-11-24,2016-12-11,n,2016,17
63,Humber Valley Terrace,95 Humber College Blvd,ltch,enteric,Norovirus-like,N/A,2016-11-23,2016-12-12,n,2016,19
